Name,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
GULU,9,2013,111.5,0.8,142.7,91.3,68.8,105.4,320.8,261.8,183.2,262.9,153.1,65.2,1767.5
GULU,9,2014,0.3,0.4,77.4,100.9,144.6,68.9,79,218.2,185.3,189.3,189.6,1.5,1255.4
GULU,9,2015,0,2.6,46.1,131,135,202.3,174.7,127.1,101,189,163.3,20,1292.1
GULU,9,2016,4.1,11.4,48.4,292.3,189.4,107.7,103.3,205.4,177.1,199.7,120.4,8.2,1467.4
GULU,9,2017,10.9,18.2,101.1,174.7,214.4,122.1,227.1,372.6,254.1,135.7,159.8,5.2,1795.9
ARUA,10,2011,2.6,12.1,54.5,61,105.5,93.4,177.7,226.7,204.1,252.1,128.3,3.3,1321.3
ARUA,10,2012,0,4.3,18.3,142.8,110.8,108.1,276.1,171.7,432.2,346.4,55.4,47.2,1713.3
ARUA,10,2013,38,20.9,75.9,122.2,149.5,157.7,155.8,238.2,226,158.9,233.9,14.7,1591.7
ARUA,10,2014,12.9,14.3,78.1,134.9,46.4,50.4,287.8,229,164,239.7,136.6,1.5,1395.6
ARUA,10,2015,14.6,30.1,83.5,124,91.8,157.3,231.8,102,136,182.2,136.1,6,1295.4
ARUA,10,2016,2.1,2.8,95.8,234,143,68.4,173.7,71.1,171.5,155.9,0,98.4,1216.7
ARUA,10,2017,1,14.3,71.1,69.7,128.2,146.7,242.9,238.7,222.9,213.4,165.1,0,1514
KABALE,11,2011,33.1,67,164,125.3,63.9,62.5,12.1,103.9,71.6,77.3,161.3,54.7,996.7
KABALE,11,2012,2.8,59.9,110.6,217,147,14.4,9.6,62.6,100.8,116.2,179.6,128,1148.5
KABALE,11,2013,42.9,35.2,129.6,76.8,70.5,0,0.1,53.5,175.2,135.8,97,80.2,896.8
KABALE,11,2014,1.8,59,234,170,45.9,3.6,42.9,145.1,152,131,96.3,111.1,1192.7
KABALE,11,2015,9.8,124.4,26.3,177.4,104.7,40.9,5.3,0.6,114.9,87.7,128.5,99.2,919.7
KABALE,11,2016,85.8,31.1,109.6,199.3,80,32.9,18.8,43.2,183.6,130.2,124.1,24,1062.6
KABALE,11,2017,40.4,50.1,113,70.1,75.6,4.7,35.5,51.8,119.3,174,153.4,54.3,942.2
JINJA,12,2011,60,27.2,201.2,132.8,130.6,92.5,59.8,159.6,191.6,331.4,177.3,55.3,1619.3
JINJA,12,2012,6.4,71.9,138.5,107.9,81,155.4,98.2,170.7,71,142.2,142.8,140.7,1326.7
JINJA,12,2013,77.5,48.1,191.8,118.8,123.6,72.4,25.1,164.5,219.8,130.1,111,74.8,1357.5
JINJA,12,2014,15.3,9.9,120.8,152.7,206.4,119.9,35.2,127.6,154.2,266.1,151.5,43.9,1403.5
JINJA,12,2015,3.7,54.4,142.8,181.7,113.5,89.2,94.2,86.9,39.5,200.4,278.7,128.1,1413.1
JINJA,12,2016,51.6,91.5,102,231,143.4,17.2,91.2,84.1,98.6,73.6,99.9,29.2,1113.3
JINJA,12,2017,27,71.1,64.1,190.5,66.5,30.9,94,67.3,141.3,110.6,219.5,39.8,1122.6
