Year,ItemName,District,AvPrice
2008,1,9,1459.443
2009,1,9,1606.559
2010,1,9,1612.54
2011,1,9,1694.484
2012,1,9,1913.5
2013,1,9,2064.95
2014,1,9,2004.208
2015,1,9,2628.417
2016,1,9,2745.583
2017,1,9,2863.833
2018,1,9,2395.542
2019,1,9,3198.139
